"MBNo","MBDate","ROCode","RONo","Amt"
"09134UP0000388",15-3-2018 0:00:00,$458.00,$2512.00,$16926.00
"UP0215RC0093035",30-3-2018 0:00:00,$565.00,$2619.00,$7080.00
"UP0215SN01013036",17-3-2018 0:00:00,$564.00,$2618.00,$20000.00
"UP-I-1718-201833",16-3-2018 0:00:00,$477.00,$2531.00,$1595.79
"UP-I-1718-201844",16-3-2018 0:00:00,$495.00,$2549.00,$2591.82
"UP-I-1718-213590",27-3-2018 0:00:00,$555.00,$2609.00,$20884.00
"UP-I-1718-21285",28-3-2018 0:00:00,$510.00,$2564.00,$5810.18
"UP-I-1718-205654",17-3-2018 0:00:00,$523.00,$2577.00,$11388.30
"UP-I-1718-20569",3-3-2018 0:00:00,$466.00,$2520.00,$5810.18
"UP-I-1718-20571",16-3-2018 0:00:00,$502.00,$2556.00,$2166.99
"JK1803004818",13-3-2018 0:00:00,$476.00,$2530.00,$7575.00
"JK1803006702",17-3-2018 0:00:00,$482.00,$2536.00,$7575.00
"JK1803006706",17-3-2018 0:00:00,$491.00,$2545.00,$37296.00
"JK1803004821",13-3-2018 0:00:00,$478.00,$2532.00,$20512.00
"JK1803004817",13-3-2018 0:00:00,$475.00,$2529.00,$16433.00
